,0,1
4288,8,2
14066,9,11
411,21,4
26166,2,8
18732,7,9
1261,8,5
13579,14,5
7000,20,9
2276,10,4
15682,17,1
15519,24,6
7570,2,3
3880,11,9
7071,10,11
3920,15,7
3924,5,6
16786,24,11
7711,31,1
6211,11,6
15120,4,1
10024,16,10
9649,10,1
393,14,8
20845,13,12
10678,9,10
9946,4,2
9212,18,11
5453,8,11
22696,9,4
24395,9,7
7304,19,4
13578,7,2
24607,31,12
10740,5,11
15094,27,11
20067,2,10
14137,28,6
12649,11,4
15051,7,12
23050,8,6
18544,25,8
15091,5,8
27486,30,11
20303,5,11
20494,27,9
15814,27,6
17634,31,3
13821,1,9
12806,27,9
24157,17,6
4530,10,4
5268,16,4
2613,18,4
15046,25,10
10605,8,3
8345,28,11
4333,17,5
6822,15,5
7738,23,6
22375,7,9
810,9,8
146,24,2
7427,29,11
6613,8,3
15731,13,2
8857,22,9
24150,24,3
20379,23,9
506,17,4
1625,30,1
9231,28,9
2876,10,1
27207,7,11
12576,16,1
16759,4,8
25132,21,7
6615,4,10
803,15,1
22262,4,4
24669,22,9
2472,28,9
11916,27,12
14119,18,9
8619,25,2
7909,16,11
17564,6,4
503,28,2
5087,3,9
4038,29,10
15419,30,6
15112,18,12
11028,25,1
3625,2,2
10337,29,1
8620,7,8
117,26,10
11791,24,7
16219,13,1
2181,31,10
7214,20,9
1300,23,5
14547,20,6
5385,19,8
14370,8,9
271,4,9
12828,6,11
1784,25,2
4402,22,5
213,2,5
15239,21,12
13013,4,10
14068,11,9
7908,30,11
9799,11,9
20812,25,9
15234,31,1
21018,27,12
26137,3,10
17127,14,4
14057,22,7
6735,20,4
15226,6,2
12760,26,11
2468,5,1
4493,13,12
45552,26,6
9433,13,9
15927,11,5
26766,30,12
17392,7,10
10542,15,5
69,3,1
668,28,8
10383,14,12
9476,4,5
14794,14,12
13732,16,7
6734,11,7
12408,11,5
22155,29,1
3097,26,7
16797,29,1
14056,10,5
7946,18,5
406,2,5
13898,24,7
1627,4,9
14792,19,12
26652,14,10
27177,25,5
13900,5,7
9908,14,11
17440,13,6
5450,17,5
31885,21,3
16312,13,3
17454,29,7
1372,18,12
24136,8,3
22952,31,1
27826,11,12
14319,21,2
19648,24,3
11038,24,8
3609,7,2
20338,7,6
14666,29,9
20265,21,5
16936,2,8
13799,3,8
4165,2,8
9798,6,4
9926,16,9
1924,1,4
15235,10,7
8182,19,6
12985,17,10
5709,26,4
25988,6,2
5691,9,11
17707,31,7
10882,19,1
4304,6,6
4905,16,4
3184,31,1
4329,25,10
10869,12,6
13684,22,4
2983,13,12
9248,25,4
8938,23,1
378,14,4
12939,20,9
2328,18,5
11921,14,8
22527,28,6
10744,6,7
4249,28,10
20239,15,11
15417,31,3
24644,29,9
6368,18,7
4153,5,12
2324,31,1
17390,16,6
9124,8,5
25067,1,9
14345,2,7
6367,26,4
7896,24,11
5105,27,11
13103,29,8
10226,27,11
482,19,11
11948,12,9
18836,30,10
1515,23,5
1773,7,8
8850,8,3
23047,4,10
26276,2,10
25798,9,7
3582,28,5
10890,11,3
3708,10,5
15641,22,10
9039,2,7
16248,23,2
27338,28,12
11121,31,7
13466,20,7
16446,21,9
12253,26,4
3725,28,5
10949,27,9
14890,29,3
3429,9,10
5066,18,10
9367,11,1
6912,19,10
10161,8,11
16553,12,5
2822,21,6
14665,1,11
11680,24,8
22738,25,6
15373,18,5
30503,17,1
10946,9,7
6330,5,4
7575,9,12
18384,5,6
11735,28,12
15931,26,3
11702,30,8
9692,2,10
22227,18,8
8858,27,11
10650,27,11
3483,6,12
16921,6,12
3255,10,4
10990,7,6
12022,6,9
10188,21,12
5202,27,5
14793,19,10
14795,3,3
17561,14,11
50275,28,2
548,16,11
9477,26,11
20329,3,7
3881,17,11
3591,1,5
21368,25,7
28018,7,12
1910,2,4
9853,18,10
5532,3,9
1951,3,6
592,18,8
17101,5,9
572,6,4
405,29,3
11386,16,9
12899,11,12
622,31,7
425,14,8
16643,25,12
2804,25,5
1514,25,11
10331,4,4
3447,15,12
26367,8,12
7530,15,3
21234,25,6
9831,11,5
39721,7,11
6069,11,1
8290,30,7
9272,3,5
1262,16,6
11651,12,6
11985,28,12
16328,4,7
5524,27,2
19684,11,4
3716,26,6
11794,9,8
27211,8,2
41896,27,9
27208,2,5
15962,13,9
16757,24,7
27206,18,3
38308,1,2
27209,21,6
12986,27,5
20671,27,2
17912,9,1
8962,3,11
11318,27,11
8908,12,11
22204,15,10
18793,22,8
11682,18,1
24540,27,7
14070,30,4
17028,25,9
16534,18,6
14367,25,7
16754,8,7
23242,6,12
6145,12,2
1362,16,10
83,9,9
8720,2,5
9040,18,10
5250,27,9
22199,18,11
9125,6,7
8909,17,8
11631,19,8
8020,7,6
1830,7,3
13426,11,12
3891,5,7
16168,1,3
3618,28,3
18239,21,12
21452,18,8
434,16,5
12589,8,3
39858,7,8
21950,27,1
24016,19,7
11041,13,4
586,11,10
12647,22,10
18322,23,5
21263,7,8
26121,11,8
3910,15,6
14662,18,9
576,25,6
14272,18,12
13247,17,3
18615,26,9
10303,28,2
2286,30,11
2676,17,12
14655,25,11
1532,17,7
6313,26,3
2270,24,3
387,13,1
12544,10,3
4158,6,11
2277,16,4
32685,12,10
11798,26,10
23896,16,2
2469,21,5
26418,16,10
1948,19,5
15312,31,10
25547,12,4
12439,9,7
17581,30,4
14521,2,2
11736,21,9
19473,24,9
15379,4,12
23343,30,1
21016,29,6
27434,15,10
380,9,1
20401,7,12
7066,23,6
6509,5,11
25038,24,11
21206,17,8
15191,16,7
12036,13,3
12614,28,3
4379,21,2
1513,26,3
15237,18,6
28187,10,4
10905,7,10
6864,26,9
3918,9,11
3912,19,8
11992,28,11
3925,29,5
3900,28,1
35909,11,10
16518,1,5
9965,8,7
9843,6,10
15138,30,6
4795,27,2
5603,18,8
3868,21,12
13861,13,4
17351,6,3
2168,30,1
3600,5,8
13025,20,9
10753,20,4
12818,4,10
4245,12,7
25785,8,5
13859,19,11
11878,14,12
4870,25,2
25786,24,1
15175,6,12
9651,2,9
11107,3,12
2830,30,10
22901,30,7
15630,8,12
22,12,10
667,7,3
20183,30,10
157,3,1
10335,2,2
27197,29,5
10881,24,1
20661,10,9
443,28,5
18006,25,4
18364,31,3
1046,5,12
1781,24,12
5526,25,6
25577,27,9
9660,5,9
21198,14,11
10228,19,10
15811,7,8
2966,8,10
21193,7,11
20735,20,9
20736,19,11
17819,8,1
11790,7,5
9862,19,6
582,21,2
1041,10,2
19690,19,5
3598,12,12
3593,6,5
2437,24,7
6297,17,7
13039,19,11
19159,12,3
8922,22,3
15169,19,1
31910,2,6
40372,18,7
15880,13,7
12485,3,11
15323,9,6
802,5,2
1242,23,12
13408,13,12
5344,20,8
9063,1,3
595,27,8
16739,6,7
967,10,10
13311,2,6
13606,16,12
22373,30,11
16558,10,5
24533,7,5
3124,2,5
14239,11,8
13173,27,2
15815,16,7
8422,18,1
18892,15,8
15746,5,9
14163,12,4
9188,25,2
10491,6,6
10124,12,3
8613,19,5
25758,2,2
22273,30,8
5127,31,1
18467,1,12
7290,31,7
13157,23,7
9187,6,9
21323,10,10
12336,6,11
17138,4,4
3923,8,7
11993,21,7
16034,10,7
24149,4,9
9189,11,2
10369,21,7
8703,25,6
13864,18,1
691,16,7
28574,31,7
410,23,5
13424,6,9
7674,12,8
12547,19,11
12011,18,12
10681,23,5
3300,24,6
18549,15,5
1512,30,1
13318,28,7
12317,25,5
10381,20,3
19419,7,3
27463,1,8
15189,19,4
32643,25,9
33714,5,6
16019,30,1
20069,25,6
4123,5,5
3151,6,12
28862,18,12
29890,14,3
11274,7,5
23409,17,7
3695,10,9
20807,8,10
21239,14,2
19147,5,6
9129,4,5
8632,8,7
2668,11,9
25018,25,2
11757,27,9
26230,21,6
16043,27,12
16672,2,2
32448,7,7
17843,18,1
22615,4,1
12820,15,4
26289,9,2
20102,27,9
21571,31,12
2746,28,2
14499,6,9
6418,5,11
14474,9,10
18999,14,10
15029,20,10
20341,21,2
26952,9,10
17414,22,7
25572,8,3
25775,25,7
3436,14,3
12941,31,7
16088,29,5
10941,21,6
26853,14,12
10939,9,11
25990,30,1
4332,25,6
16142,5,12
19501,13,6
9718,17,12
573,6,3
20347,8,6
19758,24,5
26034,10,11
16329,7,11
148,18,10
20245,15,11
22934,11,9
27241,24,3
11648,6,2
21827,4,10
39441,12,12
13155,11,5
13148,18,9
13156,1,7
7983,13,12
6941,22,3
12540,25,6
12254,3,10
16314,4,3
4985,28,1
12251,23,8
1024,24,4
106,12,10
19158,4,12
9128,26,2
2389,10,8
17680,7,11
7001,23,6
11527,2,10
20321,5,9
9249,20,3
27611,24,12
39786,24,4
25416,17,10
20074,11,4
611,4,1
20113,30,6
2752,21,11
33186,3,4
8951,3,1
1375,18,11
12557,1,9
13605,13,9
25421,31,7
22118,1,6
35342,22,8
16129,30,10
30466,6,12
12044,22,1
14318,3,4
7380,8,9
12903,11,5
29865,6,12
3540,25,2
8646,13,11
8419,19,4
40148,24,9
25420,27,2
26816,17,4
21522,23,3
9057,31,5
9944,23,5
15350,1,10
28718,4,12
21352,10,10
21455,25,10
7124,1,12
29366,6,7
14941,19,7
7325,5,9
19854,11,9
26214,27,12
28326,30,4
3590,14,8
15208,16,11
15737,12,7
11324,11,10
609,22,2
87,16,6
3613,13,12
17207,14,5
21284,24,10
3652,30,7
23465,25,7
17189,13,2
22145,21,2
1374,9,6
21573,5,1
19389,10,4
26200,19,5
4347,10,5
22815,23,8
17187,2,5
14358,21,8
10268,14,1
26573,16,2
4272,17,7
2150,5,2
3639,19,2
6419,30,5
29486,18,7
27402,27,1
14669,11,9
13548,21,8
3091,26,11
12319,19,3
11953,24,6
22900,13,8
17137,8,10
1516,9,11
6733,29,1
14275,12,9
32584,4,7
13174,2,5
26771,1,4
1154,19,5
1043,7,3
11629,20,7
12932,5,10
3182,17,8
11501,10,2
23818,4,8
11534,9,2
19081,2,11
25545,1,1
11009,11,9
11565,16,12
34833,11,6
6598,4,10
27067,4,2
4651,7,8
2727,25,12
22338,17,7
11831,16,10
32764,19,3
32583,4,11
14215,29,3
19568,23,11
27249,2,7
27292,28,10
3735,30,5
1796,19,11
12652,5,9
18964,25,6
14743,9,12
20237,10,11
26341,9,8
26189,24,12
29891,10,12
14970,2,7
11683,1,3
119,10,6
24560,16,9
8566,21,8
16669,11,5
24938,20,6
15982,22,1
23049,16,3
2063,30,10
25197,2,7
9155,10,8
27503,11,12
11040,29,6
6961,14,12
10069,23,6
33666,17,10
27048,22,6
414,31,1
24430,25,7
7117,9,5
11148,16,10
24949,24,12
25977,15,3
21450,29,10
11147,5,7
20263,9,6
19098,5,12
27187,23,2
14226,20,9
16361,19,11
12247,11,8
15093,2,10
20008,7,5
1268,1,11
11379,8,9
2680,5,3
12037,16,3
20418,26,9
15520,1,4
30212,4,10
32076,11,11
16051,9,7
12246,17,12
13584,18,3
26151,4,3
12572,7,3
19141,28,5
14140,13,8
11654,13,3
38602,20,10
3714,21,9
29059,12,8
24893,22,3
11024,25,10
22063,24,2
5787,25,10
20229,19,3
15212,30,9
25130,10,4
392,20,12
11564,6,4
24151,26,11
19210,16,5
10063,26,10
6544,24,4
3815,3,6
39729,22,6
41242,3,2
15515,30,1
10493,17,11
21,16,9
9567,4,9
13544,10,12
24335,11,8
17443,8,4
22539,8,10
24429,11,11
25981,23,7
2471,26,9
11509,25,6
4373,7,8
19719,9,11
21050,9,10
29033,13,5
22747,9,5
16434,9,5
27186,1,8
2371,24,2
21980,1,8
39490,13,5
662,14,12
10205,7,10
27597,11,2
12039,5,8
26615,5,8
20382,10,5
9452,16,6
12020,21,1
27960,14,10
13547,19,2
26035,12,3
10382,9,10
18532,22,1
1260,16,6
22614,26,3
12816,10,1
11120,1,7
31156,14,11
13841,19,4
11014,20,6
26252,22,8
27437,24,11
23733,9,5
20433,2,11
32585,23,4
4371,21,11
16593,20,9
7259,12,1
13228,12,7
11129,23,3
11161,7,5
6986,24,8
8856,6,7
11849,15,7
11734,7,5
8363,21,10
19015,13,9
2671,21,11
27058,7,12
24738,25,2
13613,21,3
11882,13,9
10886,2,9
3792,6,6
25940,16,2
5263,8,11
15683,2,12
26370,5,8
11071,9,7
32579,21,5
22405,14,5
27068,24,3
20086,31,3
25892,10,6
20103,17,9
26909,23,8
13035,3,12
18313,19,1
8949,12,4
11881,2,8
3604,15,12
31577,13,7
20094,8,4
11378,22,6
17931,28,6
13991,10,9
26631,7,12
11162,1,2
11170,31,8
16089,8,8
9217,28,3
3646,18,6
31286,3,5
32581,24,2
20107,28,8
20108,23,5
21207,24,12
17507,6,2
15144,6,12
20947,15,8
24573,27,7
20910,25,10
24763,28,8
12943,11,6
17804,3,8
17976,14,6
38307,21,3
25937,27,4
23639,6,10
24519,20,9
24729,12,1
21461,27,9
39491,16,3
9127,1,4
20007,26,6
17008,11,9
26554,5,12
40174,18,9
3503,5,7
13166,1,2
15143,21,8
20161,16,6
21563,2,7
2269,24,3
7740,17,7
5248,17,9
27224,13,2
39149,6,7
16660,25,8
16657,25,4
33142,25,2
11169,9,9
13158,5,11
36417,10,9
24966,13,4
29058,20,12
34497,3,9
4456,23,6
25205,2,11
21020,9,8
26964,5,8
18117,18,10
21945,26,7
11718,21,6
20290,15,3
12690,24,2
21602,27,5
394,6,6
30680,6,2
14308,29,11
8346,23,6
36752,8,1
38057,12,9
10334,25,2
13172,1,11
25062,26,10
17935,6,8
17011,20,11
21467,9,10
37908,27,9
28906,11,4
13233,11,10
34843,24,4
13176,15,4
7426,4,2
11275,11,9
