,0,1
2321,9,1
640,6,7
2167,1,3
1987,6,12
3375,1,3
876,12,7
4251,9,8
2242,9,4
2767,9,2
910,18,10
5046,23,3
18311,19,10
9948,9,8
5329,10,10
2701,12,4
17430,30,7
10023,7,11
19459,17,9
10103,24,1
4977,4,6
19425,1,8
4198,27,11
738,28,8
3761,14,2
4426,10,7
10044,19,8
15689,6,11
19,17,6
3573,19,8
4032,9,5
15886,13,3
1984,10,12
21652,21,9
3252,13,3
1846,21,3
94,11,3
123,18,4
108,2,6
4909,12,3
13123,30,1
12291,7,2
12294,16,7
5355,8,5
6850,23,10
2028,17,1
492,29,1
2811,29,1
2152,3,2
5281,28,2
5284,29,8
6053,3,9
2943,1,8
3469,4,2
1897,20,1
3901,29,5
1973,16,9
1749,4,2
27619,23,7
8115,1,10
6977,10,5
4553,20,6
3154,29,10
17333,4,12
12767,21,9
6028,7,11
9211,20,11
2304,11,4
7532,12,12
1189,24,9
1723,19,6
1919,6,9
1719,1,8
786,9,1
4077,15,4
7884,9,10
8559,6,1
15555,28,5
4139,13,3
14995,27,6
21383,16,5
7035,13,3
8088,27,11
17835,27,8
5439,26,6
4248,9,3
10097,26,8
7120,9,12
11731,11,11
7903,21,1
2154,25,9
5241,30,11
5052,20,8
3159,20,12
1715,10,9
676,22,2
2523,22,8
962,10,7
2250,1,12
10632,31,12
18104,10,8
1273,19,7
2769,12,12
13374,8,2
18933,10,3
863,15,5
872,19,9
2766,20,2
3070,8,10
13635,18,9
1564,19,4
13706,27,4
1298,5,4
5278,19,12
1663,29,3
12450,11,5
7973,1,2
4252,19,4
3161,9,2
1293,2,4
17820,26,7
5917,11,5
18465,20,9
8899,19,3
2691,8,2
12720,8,2
7453,30,5
6255,26,1
5276,12,10
517,21,11
953,25,4
1587,23,4
3887,8,9
17999,4,7
1418,3,11
4837,1,1
17038,5,11
4940,9,2
2758,24,10
9361,12,12
2312,1,1
18480,21,12
11077,5,9
1771,17,7
484,1,4
8971,27,8
10176,12,6
2038,19,12
505,14,9
6510,29,3
12546,21,2
3047,28,3
507,25,3
6298,2,5
1571,16,4
7998,29,8
3404,14,11
7289,19,4
2862,22,9
4729,8,2
4378,29,5
7194,18,1
28668,20,10
13856,30,11
10883,5,9
10179,8,3
13359,31,12
12638,18,11
5088,20,9
14196,14,6
911,19,3
14197,11,6
5237,19,3
5912,13,8
7198,28,2
1173,14,2
1593,6,12
10420,15,11
2970,7,5
3874,14,1
4268,3,5
3474,26,1
8834,14,9
8934,16,10
21480,4,10
2690,18,7
8071,23,12
16405,4,10
12855,19,12
12441,15,9
18447,18,1
5254,27,7
3810,11,11
15522,28,6
3187,11,12
7312,9,10
2524,10,8
1158,19,6
13708,19,1
6840,18,4
8933,1,10
480,23,4
12634,15,12
